QUESTION,QTheme_E,QSubTheme_E,QSection_E,QTheme_F,QSubTheme_F,QSection_F
G_Q65f,Workplace,Harassment,Harassment,Milieu de travail,Harcèlement,Harcèlement
G_Q65g,Workplace,Harassment,Harassment,Milieu de travail,Harcèlement,Harcèlement
G_Q65h,Workplace,Harassment,Harassment,Milieu de travail,Harcèlement,Harcèlement
G_Q65i,Workplace,Harassment,Harassment,Milieu de travail,Harcèlement,Harcèlement
G_Q65j,Workplace,Harassment,Harassment,Milieu de travail,Harcèlement,Harcèlement
G_Q65k,Workplace,Harassment,Harassment,Milieu de travail,Harcèlement,Harcèlement
G_Q65l,Workplace,Harassment,Harassment,Milieu de travail,Harcèlement,Harcèlement
G_Q65m,Workplace,Harassment,Harassment,Milieu de travail,Harcèlement,Harcèlement
G_Q66a,Workplace,Harassment,Harassment,Milieu de travail,Harcèlement,Harcèlement
G_Q66b,Workplace,Harassment,Harassment,Milieu de travail,Harcèlement,Harcèlement
G_Q66c,Workplace,Harassment,Harassment,Milieu de travail,Harcèlement,Harcèlement
G_Q66d,Workplace,Harassment,Harassment,Milieu de travail,Harcèlement,Harcèlement
G_Q66e,Workplace,Harassment,Harassment,Milieu de travail,Harcèlement,Harcèlement
G_Q66f,Workplace,Harassment,Harassment,Milieu de travail,Harcèlement,Harcèlement
G_Q66g,Workplace,Harassment,Harassment,Milieu de travail,Harcèlement,Harcèlement
G_Q66h,Workplace,Harassment,Harassment,Milieu de travail,Harcèlement,Harcèlement
G_Q66i,Workplace,Harassment,Harassment,Milieu de travail,Harcèlement,Harcèlement
G_Q67a,Workplace,Harassment,Harassment,Milieu de travail,Harcèlement,Harcèlement
G_Q67b,Workplace,Harassment,Harassment,Milieu de travail,Harcèlement,Harcèlement
G_Q67c,Workplace,Harassment,Harassment,Milieu de travail,Harcèlement,Harcèlement
G_Q67d,Workplace,Harassment,Harassment,Milieu de travail,Harcèlement,Harcèlement
G_Q67e,Workplace,Harassment,Harassment,Milieu de travail,Harcèlement,Harcèlement
G_Q67f,Workplace,Harassment,Harassment,Milieu de travail,Harcèlement,Harcèlement
G_Q67g,Workplace,Harassment,Harassment,Milieu de travail,Harcèlement,Harcèlement
G_Q67h,Workplace,Harassment,Harassment,Milieu de travail,Harcèlement,Harcèlement
G_Q67i,Workplace,Harassment,Harassment,Milieu de travail,Harcèlement,Harcèlement
G_Q67j,Workplace,Harassment,Harassment,Milieu de travail,Harcèlement,Harcèlement
G_Q67k,Workplace,Harassment,Harassment,Milieu de travail,Harcèlement,Harcèlement
G_Q67l,Workplace,Harassment,Harassment,Milieu de travail,Harcèlement,Harcèlement
G_Q67m,Workplace,Harassment,Harassment,Milieu de travail,Harcèlement,Harcèlement
G_Q67n,Workplace,Harassment,Harassment,Milieu de travail,Harcèlement,Harcèlement
G_Q67o,Workplace,Harassment,Harassment,Milieu de travail,Harcèlement,Harcèlement
G_Q67p,Workplace,Harassment,Harassment,Milieu de travail,Harcèlement,Harcèlement
G_Q68,Workplace,Harassment,Harassment,Milieu de travail,Harcèlement,Harcèlement
G_Q69,Workplace,Harassment,Harassment,Milieu de travail,Harcèlement,Harcèlement
G_Q70,Workplace,Harassment,Harassment,Milieu de travail,Harcèlement,Harcèlement
H_Q71,Workplace,Collective agreements and labour relations,Labour Relations and Collective Agreements,Milieu de travail,Conventions collectives et relations patronales-syndicales,Relations patronales-syndicales et conventions collectives
H_Q72,Workplace,Collective agreements and labour relations,Labour Relations and Collective Agreements,Milieu de travail,Conventions collectives et relations patronales-syndicales,Relations patronales-syndicales et conventions collectives
H_Q73,Workplace,Collective agreements and labour relations,Labour Relations and Collective Agreements,Milieu de travail,Conventions collectives et relations patronales-syndicales,Relations patronales-syndicales et conventions collectives
H_Q74,Workplace,Collective agreements and labour relations,Labour Relations and Collective Agreements,Milieu de travail,Conventions collectives et relations patronales-syndicales,Relations patronales-syndicales et conventions collectives
I_Q75,Workplace,Discrimination,Discrimination,Milieu de travail,Discrimination,Discrimination
I_Q76a,Workplace,Discrimination,Discrimination,Milieu de travail,Discrimination,Discrimination
I_Q76b,Workplace,Discrimination,Discrimination,Milieu de travail,Discrimination,Discrimination
I_Q76c,Workplace,Discrimination,Discrimination,Milieu de travail,Discrimination,Discrimination
I_Q76d,Workplace,Discrimination,Discrimination,Milieu de travail,Discrimination,Discrimination
I_Q76e,Workplace,Discrimination,Discrimination,Milieu de travail,Discrimination,Discrimination
I_Q76f,Workplace,Discrimination,Discrimination,Milieu de travail,Discrimination,Discrimination
I_Q76g,Workplace,Discrimination,Discrimination,Milieu de travail,Discrimination,Discrimination
I_Q77a,Workplace,Discrimination,Discrimination,Milieu de travail,Discrimination,Discrimination
I_Q77b,Workplace,Discrimination,Discrimination,Milieu de travail,Discrimination,Discrimination
I_Q77c,Workplace,Discrimination,Discrimination,Milieu de travail,Discrimination,Discrimination
I_Q77d,Workplace,Discrimination,Discrimination,Milieu de travail,Discrimination,Discrimination
I_Q77e,Workplace,Discrimination,Discrimination,Milieu de travail,Discrimination,Discrimination
I_Q77f,Workplace,Discrimination,Discrimination,Milieu de travail,Discrimination,Discrimination
I_Q77g,Workplace,Discrimination,Discrimination,Milieu de travail,Discrimination,Discrimination
I_Q77h,Workplace,Discrimination,Discrimination,Milieu de travail,Discrimination,Discrimination
I_Q77i,Workplace,Discrimination,Discrimination,Milieu de travail,Discrimination,Discrimination
I_Q77j,Workplace,Discrimination,Discrimination,Milieu de travail,Discrimination,Discrimination
I_Q77k,Workplace,Discrimination,Discrimination,Milieu de travail,Discrimination,Discrimination
I_Q77l,Workplace,Discrimination,Discrimination,Milieu de travail,Discrimination,Discrimination
I_Q77m,Workplace,Discrimination,Discrimination,Milieu de travail,Discrimination,Discrimination
I_Q77n,Workplace,Discrimination,Discrimination,Milieu de travail,Discrimination,Discrimination
I_Q78a,Workplace,Discrimination,Discrimination,Milieu de travail,Discrimination,Discrimination
I_Q78b,Workplace,Discrimination,Discrimination,Milieu de travail,Discrimination,Discrimination
I_Q78c,Workplace,Discrimination,Discrimination,Milieu de travail,Discrimination,Discrimination
I_Q78d,Workplace,Discrimination,Discrimination,Milieu de travail,Discrimination,Discrimination
I_Q78e,Workplace,Discrimination,Discrimination,Milieu de travail,Discrimination,Discrimination
I_Q78f,Workplace,Discrimination,Discrimination,Milieu de travail,Discrimination,Discrimination
I_Q78g,Workplace,Discrimination,Discrimination,Milieu de travail,Discrimination,Discrimination
I_Q78h,Workplace,Discrimination,Discrimination,Milieu de travail,Discrimination,Discrimination
I_Q78i,Workplace,Discrimination,Discrimination,Milieu de travail,Discrimination,Discrimination
I_Q79a,Workplace,Discrimination,Discrimination,Milieu de travail,Discrimination,Discrimination
I_Q79b,Workplace,Discrimination,Discrimination,Milieu de travail,Discrimination,Discrimination
I_Q79c,Workplace,Discrimination,Discrimination,Milieu de travail,Discrimination,Discrimination
I_Q79d,Workplace,Discrimination,Discrimination,Milieu de travail,Discrimination,Discrimination
I_Q79e,Workplace,Discrimination,Discrimination,Milieu de travail,Discrimination,Discrimination
I_Q79f,Workplace,Discrimination,Discrimination,Milieu de travail,Discrimination,Discrimination
I_Q79g,Workplace,Discrimination,Discrimination,Milieu de travail,Discrimination,Discrimination
I_Q79h,Workplace,Discrimination,Discrimination,Milieu de travail,Discrimination,Discrimination
I_Q79i,Workplace,Discrimination,Discrimination,Milieu de travail,Discrimination,Discrimination
I_Q79j,Workplace,Discrimination,Discrimination,Milieu de travail,Discrimination,Discrimination
I_Q79k,Workplace,Discrimination,Discrimination,Milieu de travail,Discrimination,Discrimination
I_Q79l,Workplace,Discrimination,Discrimination,Milieu de travail,Discrimination,Discrimination
I_Q79m,Workplace,Discrimination,Discrimination,Milieu de travail,Discrimination,Discrimination
I_Q79n,Workplace,Discrimination,Discrimination,Milieu de travail,Discrimination,Discrimination
I_Q79o,Workplace,Discrimination,Discrimination,Milieu de travail,Discrimination,Discrimination
I_Q79p,Workplace,Discrimination,Discrimination,Milieu de travail,Discrimination,Discrimination
I_Q80,Workplace,Discrimination,Discrimination,Milieu de travail,Discrimination,Discrimination
I_Q81,Workplace,Discrimination,Discrimination,Milieu de travail,Discrimination,Discrimination
I_Q82,Workplace,Discrimination,Discrimination,Milieu de travail,Discrimination,Discrimination
J_Q83a,Workplace well-being,Work-related stress,Stress and well being,Bien-être en milieu de travail,Stress lié au travail,Stress et bien-être
J_Q83b,Workplace well-being,Work-related stress,Stress and well being,Bien-être en milieu de travail,Stress lié au travail,Stress et bien-être
J_Q83c,Workplace well-being,Work-related stress,Stress and well being,Bien-être en milieu de travail,Stress lié au travail,Stress et bien-être
J_Q83d,Workplace well-being,Work-related stress,Stress and well being,Bien-être en milieu de travail,Stress lié au travail,Stress et bien-être
J_Q83e,Workplace well-being,Work-related stress,Stress and well being,Bien-être en milieu de travail,Stress lié au travail,Stress et bien-être
J_Q83f,Workplace well-being,Work-related stress,Stress and well being,Bien-être en milieu de travail,Stress lié au travail,Stress et bien-être
J_Q83g,Workplace well-being,Work-related stress,Stress and well being,Bien-être en milieu de travail,Stress lié au travail,Stress et bien-être
J_Q83h,Workplace well-being,Work-related stress,Stress and well being,Bien-être en milieu de travail,Stress lié au travail,Stress et bien-être
J_Q83i,Workplace well-being,Work-related stress,Stress and well being,Bien-être en milieu de travail,Stress lié au travail,Stress et bien-être
J_Q83j,Workplace well-being,Work-related stress,Stress and well being,Bien-être en milieu de travail,Stress lié au travail,Stress et bien-être
J_Q83k,Workplace well-being,Work-related stress,Stress and well being,Bien-être en milieu de travail,Stress lié au travail,Stress et bien-être
J_Q83l,Workplace well-being,Work-related stress,Stress and well being,Bien-être en milieu de travail,Stress lié au travail,Stress et bien-être
J_Q83m,Workplace well-being,Work-related stress,Stress and well being,Bien-être en milieu de travail,Stress lié au travail,Stress et bien-être
J_Q83n,Workplace well-being,Work-related stress,Stress and well being,Bien-être en milieu de travail,Stress lié au travail,Stress et bien-être
J_Q83o,Workplace well-being,Work-related stress,Stress and well being,Bien-être en milieu de travail,Stress lié au travail,Stress et bien-être
J_Q83p,Workplace well-being,Work-related stress,Stress and well being,Bien-être en milieu de travail,Stress lié au travail,Stress et bien-être
J_Q83q,Workplace well-being,Work-related stress,Stress and well being,Bien-être en milieu de travail,Stress lié au travail,Stress et bien-être
J_Q83r,Workplace well-being,Work-related stress,Stress and well being,Bien-être en milieu de travail,Stress lié au travail,Stress et bien-être
J_Q84,Workplace well-being,Work-related stress,Stress and well being,Bien-être en milieu de travail,Stress lié au travail,Stress et bien-être
J_Q85,Workplace well-being,Work-related stress,Stress and well being,Bien-être en milieu de travail,Stress lié au travail,Stress et bien-être
J_Q86,Workplace well-being,A psychologically healthy workplace,Stress and well being,Bien-être en milieu de travail,Milieu de travail sain sur le plan psychologique,Stress et bien-être
J_Q87,Workplace well-being,A psychologically healthy workplace,Stress and well being,Bien-être en milieu de travail,Milieu de travail sain sur le plan psychologique,Stress et bien-être
K_Q88,Workplace,Duty to accommodate,Duty to Accommodate,Milieu de travail,Obligation de prendre des mesures d'adaptation,Obligation de prendre des mesures d'adaptation
K_Q89,Workplace,Duty to accommodate,Duty to Accommodate,Milieu de travail,Obligation de prendre des mesures d'adaptation,Obligation de prendre des mesures d'adaptation
K_Q90,Workplace,Duty to accommodate,Duty to Accommodate,Milieu de travail,Obligation de prendre des mesures d'adaptation,Obligation de prendre des mesures d'adaptation
L_D93,Compensation,Pay or other compensation issues,Duty to Accommodate,Rémunération,Problèmes de paye ou de rémunération,Obligation de prendre des mesures d'adaptation
L_Q91,Compensation,Pay or other compensation issues,Compensation,Rémunération,Problèmes de paye ou de rémunération,Rémunération
L_Q92a,Compensation,Pay or other compensation issues,Compensation,Rémunération,Problèmes de paye ou de rémunération,Rémunération
L_Q92b,Compensation,Pay or other compensation issues,Compensation,Rémunération,Problèmes de paye ou de rémunération,Rémunération
L_Q92c,Compensation,Pay or other compensation issues,Compensation,Rémunération,Problèmes de paye ou de rémunération,Rémunération
L_Q92d,Compensation,Pay or other compensation issues,Compensation,Rémunération,Problèmes de paye ou de rémunération,Rémunération
L_Q92e,Compensation,Pay or other compensation issues,Compensation,Rémunération,Problèmes de paye ou de rémunération,Rémunération
L_Q92f,Compensation,Pay or other compensation issues,Compensation,Rémunération,Problèmes de paye ou de rémunération,Rémunération
L_Q94,Compensation,Support to resolve pay or other compensation issues,Compensation,Rémunération,Soutien afin de régler les problèmes de paye ou autre rémunération,Rémunération
L_Q95,Compensation,Support to resolve pay or other compensation issues,Compensation,Rémunération,Soutien afin de régler les problèmes de paye ou autre rémunération,Rémunération
