BYCOND,DemoQ,DemQ_E,DemQ_F,OrderKey,OrderOCHRO
OCCLEVEL = 234,OCCLEVEL,EX,EX,GRP_EX-01,
OCCLEVEL = 235,OCCLEVEL,EX,EX,GRP_EX-02,
OCCLEVEL = 236,OCCLEVEL,EX,EX,GRP_EX-03,
OCCLEVEL = 237,OCCLEVEL,EX,EX,GRP_EX-04,
OCCLEVEL = 253,OCCLEVEL,FI,FI,GRP_FI-01,
OCCLEVEL = 255,OCCLEVEL,FI,FI,GRP_FI-03,
OCCLEVEL = 256,OCCLEVEL,FI,FI,GRP_FI-04,
OCCLEVEL = 369,OCCLEVEL,IS,IS,GRP_IS-04,
OCCLEVEL = 370,OCCLEVEL,IS,IS,GRP_IS-05,
OCCLEVEL = 518,OCCLEVEL,PE,PE,GRP_PE-04,
OCCLEVEL = 519,OCCLEVEL,PE,PE,GRP_PE-05,
OCCLEVEL = 520,OCCLEVEL,PE,PE,GRP_PE-06,
OCCLEVEL = 67,OCCLEVEL,AS,AS,GRP_AS-01,
OCCLEVEL = 68,OCCLEVEL,AS,AS,GRP_AS-02,
OCCLEVEL = 69,OCCLEVEL,AS,AS,GRP_AS-03,
OCCLEVEL = 70,OCCLEVEL,AS,AS,GRP_AS-04,
OCCLEVEL = 71,OCCLEVEL,AS,AS,GRP_AS-05,
OCCLEVEL = 72,OCCLEVEL,AS,AS,GRP_AS-06,
OCCLEVEL = 73,OCCLEVEL,AS,AS,GRP_AS-07,
TBS,TBS,TBS,SCT,2,2
PS,PS,PS,FP,1,1
LEVEL3ID = 028,LEVEL3ID,Sector,Secteur,3,3
LEVEL3ID = 005,LEVEL3ID,Sector,Secteur,,4
LEVEL4ID = 007,LEVEL4ID,Sector,Secteur,,5
LEVEL4ID = 008,LEVEL4ID,Sector,Secteur,,6
LEVEL4ID = 009,LEVEL4ID,Sector,Secteur,,7
LEVEL4ID = 010,LEVEL4ID,Sector,Secteur,,8
,org,Organization,Organization,,
,LEVEL,Organization,Organization,,
